Gene_Signature	Entrez_Gene_ID	Gene_Symbol	Signature_ID
5_EMT_DOWN_EntrezID	132299	OCIAD2	5
5_EMT_DOWN_EntrezID	5017	OVOL1	5
5_EMT_DOWN_EntrezID	79887	PLBD1	5
5_EMT_DOWN_EntrezID	5507	PPP1R3C	5
5_EMT_DOWN_EntrezID	6192	RPS4Y1	5
5_EMT_DOWN_EntrezID	6277	S100A6	5
5_EMT_DOWN_EntrezID	6286	S100P	5
5_EMT_DOWN_EntrezID	9121	SLC16A5	5
5_EMT_DOWN_EntrezID	6692	SPINT1	5
5_EMT_DOWN_EntrezID	4070	TACSTD2	5
5_EMT_DOWN_EntrezID	7056	THBD	5
5_EMT_DOWN_EntrezID	4071	TM4SF1	5
5_EMT_DOWN_EntrezID	161291	TMEM30B	5
5_EMT_DOWN_EntrezID	120224	TMEM45B	5
5_EMT_DOWN_EntrezID	7127	TNFAIP2	5
5_EMT_DOWN_EntrezID	84951	TNS4	5
5_EMT_DOWN_EntrezID	23650	TRIM29	5
5_EMT_DOWN_EntrezID	652995	UCA1	5
5_EMT_DOWN_EntrezID	54578	UGT1A6	5
5_EMT_DOWN_EntrezID	51442	VGLL1	5
6_EMT_UP_EntrezID	217	ALDH2	6
6_EMT_UP_EntrezID	56271	BEX4	6
6_EMT_UP_EntrezID	23066	CAND2	6
6_EMT_UP_EntrezID	1021	CDK6	6
6_EMT_UP_EntrezID	1152	CKB	6
6_EMT_UP_EntrezID	123920	CMTM3	6
6_EMT_UP_EntrezID	81035	COLEC12	6
6_EMT_UP_EntrezID	1363	CPE	6
6_EMT_UP_EntrezID	1373	CPS1	6
6_EMT_UP_EntrezID	1602	DACH1	6
6_EMT_UP_EntrezID	196513	DCP1B	6
6_EMT_UP_EntrezID	148252	DIRAS1	6
6_EMT_UP_EntrezID	9829	DNAJC6	6
6_EMT_UP_EntrezID	1917	EEF1A2	6
6_EMT_UP_EntrezID	27112	FAM155B	6
6_EMT_UP_EntrezID	138311	FAM69B	6
6_EMT_UP_EntrezID	2201	FBN2	6
6_EMT_UP_EntrezID	60681	FKBP10	6
6_EMT_UP_EntrezID	2950	GSTP1	6
6_EMT_UP_EntrezID	388585	HES5	6
6_EMT_UP_EntrezID	3219	HOXB9	6
6_EMT_UP_EntrezID	3221	HOXC4	6
6_EMT_UP_EntrezID	10642	IGF2BP1	6
6_EMT_UP_EntrezID	115207	KCTD12	6
6_EMT_UP_EntrezID	11278	KLF12	6
6_EMT_UP_EntrezID	23641	LDOC1	6
6_EMT_UP_EntrezID	81557	MAGED4B	6
6_EMT_UP_EntrezID	10982	MAPRE2	6
6_EMT_UP_EntrezID	4162	MCAM	6
6_EMT_UP_EntrezID	26002	MOXD1	6
6_EMT_UP_EntrezID	4478	MSN	6
6_EMT_UP_EntrezID	253827	MSRB3	6
6_EMT_UP_EntrezID	132430	PABPC4L	6
6_EMT_UP_EntrezID	56034	PDGFC	6
6_EMT_UP_EntrezID	5352	PLOD2	6
6_EMT_UP_EntrezID	55228	PNMAL1	6
6_EMT_UP_EntrezID	56655	POLE4	6
6_EMT_UP_EntrezID	55698	RADIL	6
6_EMT_UP_EntrezID	140606	SELENOM	6
6_EMT_UP_EntrezID	9353	SLIT2	6
6_EMT_UP_EntrezID	2040	STOM	6
6_EMT_UP_EntrezID	6925	TCF4	6
6_EMT_UP_EntrezID	11013	TMSB15A	6
6_EMT_UP_EntrezID	347733	TUBB2B	6
6_EMT_UP_EntrezID	7345	UCHL1	6
6_EMT_UP_EntrezID	7431	VIM	6
6_EMT_UP_EntrezID	7503	XIST	6
6_EMT_UP_EntrezID	79776	ZFHX4	6
7_GO_BCR_signaling_EntrezID	9564	BCAR1	7
7_GO_BCR_signaling_EntrezID	596	BCL2	7
7_GO_BCR_signaling_EntrezID	640	BLK	7
7_GO_BCR_signaling_EntrezID	695	BTK	7
7_GO_BCR_signaling_EntrezID	930	CD19	7
7_GO_BCR_signaling_EntrezID	952	CD38	7
7_GO_BCR_signaling_EntrezID	973	CD79A	7
7_GO_BCR_signaling_EntrezID	1493	CTLA4	7
7_GO_BCR_signaling_EntrezID	89857	KLHL6	7
7_GO_BCR_signaling_EntrezID	7462	LAT2	7
7_GO_BCR_signaling_EntrezID	3932	LCK	7
7_GO_BCR_signaling_EntrezID	54923	LIME1	7
7_GO_BCR_signaling_EntrezID	4067	LYN	7
7_GO_BCR_signaling_EntrezID	5594	MAPK1	7
7_GO_BCR_signaling_EntrezID	4208	MEF2C	7
7_GO_BCR_signaling_EntrezID	4332	MNDA	7
7_GO_BCR_signaling_EntrezID	3071	NCKAP1L	7
7_GO_BCR_signaling_EntrezID	150372	NFAM1	7
7_GO_BCR_signaling_EntrezID	4773	NFATC2	7
7_GO_BCR_signaling_EntrezID	5293	PIK3CD	7
7_GO_BCR_signaling_EntrezID	5336	PLCG2	7
7_GO_BCR_signaling_EntrezID	59338	PLEKHA1	7
7_GO_BCR_signaling_EntrezID	5579	PRKCB	7
7_GO_BCR_signaling_EntrezID	5788	PTPRC	7
7_GO_BCR_signaling_EntrezID	6850	SYK	7
7_GO_BCR_signaling_EntrezID	7006	TEC	7
7_GO_BCR_signaling_EntrezID	10451	VAV3	7
8_GO_TCR_signaling_EntrezID	9564	BCAR1	8
8_GO_TCR_signaling_EntrezID	8915	BCL10	8
8_GO_TCR_signaling_EntrezID	784	CACNB3	8
8_GO_TCR_signaling_EntrezID	84433	CARD11	8
8_GO_TCR_signaling_EntrezID	919	CD247	8
8_GO_TCR_signaling_EntrezID	915	CD3D	8
8_GO_TCR_signaling_EntrezID	916	CD3E	8
8_GO_TCR_signaling_EntrezID	917	CD3G	8
8_GO_TCR_signaling_EntrezID	920	CD4	8
8_GO_TCR_signaling_EntrezID	1147	CHUK	8
8_GO_TCR_signaling_EntrezID	1445	CSK	8
8_GO_TCR_signaling_EntrezID	55740	ENAH	8
8_GO_TCR_signaling_EntrezID	50943	FOXP3	8
8_GO_TCR_signaling_EntrezID	2533	FYB	8
8_GO_TCR_signaling_EntrezID	2534	FYN	8
8_GO_TCR_signaling_EntrezID	2625	GATA3	8
8_GO_TCR_signaling_EntrezID	9402	GRAP2	8
8_GO_TCR_signaling_EntrezID	3108	HLA-DMA	8
8_GO_TCR_signaling_EntrezID	3109	HLA-DMB	8
8_GO_TCR_signaling_EntrezID	3111	HLA-DOA	8
8_GO_TCR_signaling_EntrezID	3112	HLA-DOB	8
8_GO_TCR_signaling_EntrezID	3113	HLA-DPA1	8
8_GO_TCR_signaling_EntrezID	3115	HLA-DPB1	8
8_GO_TCR_signaling_EntrezID	3117	HLA-DQA1	8
8_GO_TCR_signaling_EntrezID	3118	HLA-DQA2	8
8_GO_TCR_signaling_EntrezID	3119	HLA-DQB1	8
8_GO_TCR_signaling_EntrezID	3120	HLA-DQB2	8
8_GO_TCR_signaling_EntrezID	3122	HLA-DRA	8
8_GO_TCR_signaling_EntrezID	3123	HLA-DRB1	8
8_GO_TCR_signaling_EntrezID	3125	HLA-DRB3	8
8_GO_TCR_signaling_EntrezID	3126	HLA-DRB4	8
8_GO_TCR_signaling_EntrezID	3127	HLA-DRB5	8
8_GO_TCR_signaling_EntrezID	3551	IKBKB	8
8_GO_TCR_signaling_EntrezID	8517	IKBKG	8
8_GO_TCR_signaling_EntrezID	3635	INPP5D	8
8_GO_TCR_signaling_EntrezID	3702	ITK	8
8_GO_TCR_signaling_EntrezID	186930	K03B8	8
8_GO_TCR_signaling_EntrezID	27040	LAT	8
8_GO_TCR_signaling_EntrezID	3932	LCK	8
8_GO_TCR_signaling_EntrezID	3937	LCP2	8
8_GO_TCR_signaling_EntrezID	10892	MALT1	8
8_GO_TCR_signaling_EntrezID	6885	MAP3K7	8
8_GO_TCR_signaling_EntrezID	5594	MAPK1	8
8_GO_TCR_signaling_EntrezID	4690	NCK1	8
8_GO_TCR_signaling_EntrezID	4790	NFKB1	8
8_GO_TCR_signaling_EntrezID	4792	NFKBIA	8
8_GO_TCR_signaling_EntrezID	55824	PAG1	8
8_GO_TCR_signaling_EntrezID	5058	PAK1	8
8_GO_TCR_signaling_EntrezID	5062	PAK2	8
8_GO_TCR_signaling_EntrezID	5170	PDPK1	8
8_GO_TCR_signaling_EntrezID	5290	PIK3CA	8
8_GO_TCR_signaling_EntrezID	5291	PIK3CB	8
8_GO_TCR_signaling_EntrezID	5293	PIK3CD	8
8_GO_TCR_signaling_EntrezID	5295	PIK3R1	8
8_GO_TCR_signaling_EntrezID	5296	PIK3R2	8
8_GO_TCR_signaling_EntrezID	5335	PLCG1	8
8_GO_TCR_signaling_EntrezID	5336	PLCG2	8
