query,notfound,_id,_score,symbol
79602,,79602,25.52669,ADIPOR2
132,,132,25.52669,ADK
133,,133,25.52669,ADM
79924,,79924,25.52669,ADM2
22850,,22850,26.317228,ADNP2
23394,,23394,25.52669,ADNP
84890,,84890,25.52669,ADO
134,,134,25.52669,ADORA1
135,,135,25.52669,ADORA2A
136,,136,25.52669,ADORA2B
140,,140,25.52669,ADORA3
83440,,83440,26.31847,ADPGK
141,,141,25.525448,ADPRH
113622,,113622,25.525448,ADPRHL1
54936,,54936,25.525448,ADPRS
148,,148,25.52669,ADRA1A
147,,147,26.31847,ADRA1B
146,,146,26.31847,ADRA1D
150,,150,25.52669,ADRA2A
151,,151,25.52669,ADRA2B
152,,152,25.52669,ADRA2C
153,,153,26.31847,ADRB1
154,,154,25.52669,ADRB2
155,,155,26.31847,ADRB3
156,,156,26.31847,GRK2
157,,157,26.31847,GRK3
11047,,11047,26.31847,ADRM1
158,,158,25.52669,ADSL
159,,159,26.31847,ADSS2
122622,,122622,25.52669,ADSS1
165,,165,26.31847,AEBP1
121536,,121536,25.52669,AEBP2
64782,,64782,26.31847,AEN
166,,166,26.31847,TLE5
60312,,60312,26.31847,AFAP1
134265,,134265,26.31847,AFAP1L1
84632,,84632,26.31847,AFAP1L2
246182,,246182,8.489829,AKR7A2P1
4299,,4299,26.31847,AFF1
2334,,2334,26.31847,AFF2
3899,,3899,26.31847,AFF3
27125,,27125,26.31847,AFF4
172,,172,8.4894285,AFG3L1P
10939,,10939,25.525448,AFG3L2
173,,173,26.317228,AFM
125061,,125061,26.31847,AFMID
174,,174,26.31847,AFP
54812,,54812,26.31847,AFTPH
387763,,387763,26.31847,C11orf96
175,,175,25.52669,AGA
119385,,119385,26.31847,AGAP11
116987,,116987,25.52669,AGAP1
116986,,116986,25.52669,AGAP2
116988,,116988,26.31847,AGAP3
119016,,119016,26.31847,AGAP4
729092,,729092,26.31847,AGAP5
414189,,414189,26.31847,AGAP6
653268,,653268,8.489829,AGAP7P
728404,True,,,
123624,,123624,26.31847,AGBL1
79841,,79841,25.52669,AGBL2
340351,,340351,26.31847,AGBL3
84871,,84871,26.31847,AGBL4
60509,,60509,25.52669,AGBL5
177,,177,25.52669,AGER
3267,,3267,26.31847,AGFG1
3268,,3268,26.31847,AGFG2
55109,,55109,25.525448,AGGF1
55750,,55750,25.525448,AGK
178,,178,26.317228,AGL
79814,,79814,26.317228,AGMAT
10554,,10554,26.31847,AGPAT1
10555,,10555,26.31847,AGPAT2
56894,,56894,26.31847,AGPAT3
56895,,56895,26.31847,AGPAT4
55326,,55326,26.31847,AGPAT5
137964,,137964,26.31847,GPAT4
84803,,84803,26.31847,GPAT3
123688,,123688,26.31847,HYKK
8540,,8540,26.31847,AGPS
10551,,10551,25.52669,AGR2
155465,,155465,26.31847,AGR3
375790,,375790,26.31847,AGRN
181,,181,26.31847,AGRP
183,,183,25.52669,AGT
23287,,23287,25.52669,AGTPBP1
185,,185,26.31847,AGTR1
186,,186,25.52669,AGTR2
57085,,57085,26.317228,AGTRAP
189,,189,25.52669,AGXT
64902,,64902,26.31847,AGXT2
64850,,64850,26.31847,ETNPPL
85007,,85007,26.31847,PHYKPL
25909,,25909,25.52669,AHCTF1
191,,191,25.52669,AHCY
10768,,10768,26.31847,AHCYL1
23382,,23382,26.31847,AHCYL2
27245,,27245,26.31847,AHDC1
54806,,54806,26.31847,AHI1
113146,,113146,26.31847,AHNAK2
79026,,79026,25.52669,AHNAK
196,,196,25.52669,AHR
57491,,57491,26.31847,AHRR
10598,,10598,25.52669,AHSA1
130872,,130872,8.234416,AHSA2P
197,,197,25.525448,AHSG
51327,,51327,26.317228,AHSP
57379,,57379,25.52669,AICDA
64853,,64853,26.31847,AIDA
199,,199,26.31847,AIF1
83543,,83543,25.52669,AIF1L
9131,,9131,26.31847,AIFM1
84883,,84883,26.31847,AIFM2
150209,,150209,25.52669,AIFM3
51390,,51390,26.31847,AIG1
202,,202,26.31847,CRYBG1
55057,,55057,26.31847,CRYBG2
9447,,9447,25.52669,AIM2
9255,,9255,25.52669,AIMP1
7965,,7965,26.31847,AIMP2
9049,,9049,25.52669,AIP
23746,,23746,26.317228,AIPL1
326,,326,26.317228,AIRE
55966,,55966,26.31847,AJAP1
203,,203,26.31847,AK1
204,,204,26.31847,AK2
50808,,50808,26.31847,AK3
205,,205,25.52669,AK4
26289,,26289,26.31847,AK5
122481,,122481,26.31847,AK7
11216,,11216,26.31847,AKAP10
11215,,11215,25.52669,AKAP11
9590,,9590,25.52669,AKAP12
11214,,11214,26.31847,AKAP13
158798,,158798,26.31847,AKAP14
8165,,8165,26.31847,AKAP1
11217,True,,,
10566,,10566,26.317228,AKAP3
8852,,8852,26.31847,AKAP4
9495,,9495,26.31847,AKAP5
9472,,9472,26.31847,AKAP6
9465,,9465,26.31847,AKAP7
10270,,10270,26.31847,AKAP8
26993,,26993,26.31847,AKAP8L
10142,,10142,25.52669,AKAP9
221264,,221264,26.31847,AK9
79647,,79647,26.31847,AKIRIN1
55122,,55122,26.31847,AKIRIN2
80709,,80709,26.31847,AKNA
254268,,254268,26.31847,AKNAD1
10327,,10327,25.52669,AKR1A1
57016,,57016,26.31847,AKR1B10
231,,231,25.52669,AKR1B1
441282,,441282,26.31847,AKR1B15
1645,,1645,26.317228,AKR1C1
1646,,1646,25.52669,AKR1C2
8644,,8644,25.52669,AKR1C3
1109,,1109,26.31847,AKR1C4
340811,,340811,26.31847,AKR1C8
6718,,6718,26.31847,AKR1D1
83592,,83592,26.31847,AKR1E2
8574,,8574,25.52669,AKR7A2
22977,,22977,25.52669,AKR7A3
246181,,246181,8.4894285,AKR7L
207,,207,25.525448,AKT1
84335,,84335,26.31847,AKT1S1
208,,208,25.52669,AKT2
10000,,10000,25.52669,AKT3
64400,,64400,26.31847,AKTIP
210,,210,26.31847,ALAD
211,,211,26.31847,ALAS1
212,,212,25.52669,ALAS2
213,,213,25.52669,ALB
214,,214,26.31847,ALCAM
126133,,126133,26.31847,ALDH16A1
5832,,5832,25.52669,ALDH18A1
216,,216,25.52669,ALDH1A1
8854,,8854,25.52669,ALDH1A2
220,,220,26.31847,ALDH1A3
219,,219,26.31847,ALDH1B1
10840,,10840,25.52669,ALDH1L1
160428,,160428,25.52669,ALDH1L2
217,,217,25.52669,ALDH2
218,,218,25.52669,ALDH3A1
224,,224,26.31847,ALDH3A2
221,,221,25.52669,ALDH3B1
222,,222,25.525448,ALDH3B2
8659,,8659,26.31847,ALDH4A1
7915,,7915,26.31847,ALDH5A1
4329,,4329,26.31847,ALDH6A1
501,,501,26.31847,ALDH7A1
64577,,64577,25.52669,ALDH8A1
223,,223,26.31847,ALDH9A1
226,,226,25.52669,ALDOA
229,,229,25.52669,ALDOB
230,,230,26.31847,ALDOC
84920,,84920,26.31847,ALG10
144245,,144245,26.31847,ALG10B
440138,,440138,26.31847,ALG11
79087,,79087,26.31847,ALG12
79868,,79868,26.31847,ALG13
199857,,199857,26.31847,ALG14
56052,,56052,26.31847,ALG1
200810,,200810,26.31847,ALG1L
644974,,644974,26.317228,ALG1L2
85365,,85365,26.317228,ALG2
10195,,10195,25.52669,ALG3
29880,,29880,26.31847,ALG5
29929,,29929,26.31847,ALG6
79053,,79053,26.31847,ALG8
79796,,79796,26.31847,ALG9
238,,238,25.52669,ALK
8846,,8846,25.52669,ALKBH1
121642,,121642,26.31847,ALKBH2
221120,,221120,26.31847,ALKBH3
54784,,54784,26.31847,ALKBH4
54890,,54890,26.31847,ALKBH5
84964,,84964,26.31847,ALKBH6
84266,,84266,26.31847,ALKBH7
91801,,91801,26.31847,ALKBH8
55821,,55821,25.52669,ALLC
7840,,7840,26.31847,ALMS1
200420,,200420,8.489829,ALMS1P1
239,,239,25.52669,ALOX12
242,,242,26.31847,ALOX12B
245,,245,8.489829,ALOX12P2
